Sector,Orbit,Start Time,End Time
1,9,2018-07-25 19:29:42,2018-08-08 00:29:42
1,10,2018-08-09 03:59:41,2018-08-22 15:59:41
2,11,2018-08-23 14:29:41,2018-09-05 15:29:41
2,12,2018-09-07 02:29:40,2018-09-19 23:59:40
3,13,2018-09-20 04:59:40,2018-09-21 00:29:40
3,13,2018-09-21 02:29:40,2018-09-22 02:59:40
3,13,2018-09-22 03:59:40,2018-09-22 18:29:40
3,13,2018-09-22 19:29:40,2018-09-24 08:59:40
3,13,2018-09-24 10:29:40,2018-10-03 22:29:40
3,13,2018-10-04 01:59:40,2018-10-04 22:59:40
3,13,2018-10-04 23:59:40,2018-10-05 01:29:40
3,14,2018-10-05 03:29:40,2018-10-17 20:59:39
4,15,2018-10-19 09:59:39,2018-10-21 17:59:39
4,15,2018-10-21 18:29:39,2018-10-26 23:29:39
4,15,2018-10-29 17:29:39,2018-10-31 23:59:39
4,16,2018-11-02 01:29:39,2018-11-14 07:59:38
5,17,2018-11-15 11:29:38,2018-11-27 16:29:38
5,18,2018-11-29 01:29:38,2018-12-11 18:29:37
6,19,2018-12-15 18:29:37,2018-12-24 12:29:37
6,20,2018-12-25 14:29:37,2019-01-06 12:59:36
7,21,2019-01-08 02:59:36,2019-01-19 12:29:36
7,22,2019-01-21 04:59:36,2019-02-01 13:59:35
8,23,2019-02-02 20:29:35,2019-02-14 13:29:35
8,24,2019-02-15 18:29:35,2019-02-17 05:29:35
8,24,2019-02-20 11:59:35,2019-02-27 11:59:34
9,25,2019-02-28 17:29:34,2019-03-13 00:59:34
9,26,2019-03-14 05:29:34,2019-03-25 22:59:33
10,27,2019-03-26 22:29:33,2019-04-08 06:29:33
10,28,2019-04-09 06:29:33,2019-04-22 03:59:32
11,29,2019-04-23 06:29:32,2019-05-06 04:29:32
11,30,2019-05-07 06:59:32,2019-05-20 08:59:31
12,31,2019-05-21 10:59:31,2019-06-04 11:29:31
12,32,2019-06-05 12:59:31,2019-06-18 08:59:30
13,33,2019-06-19 09:59:30,2019-07-03 04:29:30
13,34,2019-07-04 02:59:30,2019-07-17 20:29:29
14,35,2019-07-18 20:29:29,2019-07-31 20:59:29
14,36,2019-08-01 20:29:29,2019-08-14 16:29:28
15,37,2019-08-15 20:59:28,2019-08-28 08:29:28
15,38,2019-08-29 10:29:28,2019-09-10 21:29:27
16,39,2019-09-12 03:29:27,2019-09-23 20:29:27
16,40,2019-09-25 03:59:27,2019-10-06 19:29:26
17,41,2019-10-08 04:29:26,2019-10-19 18:59:26
17,42,2019-10-21 05:29:26,2019-11-01 15:59:25
17,42,2019-11-01 16:29:25,2019-11-02 04:29:25
18,43,2019-11-03 03:59:25,2019-11-03 14:29:25
18,43,2019-11-03 20:59:25,2019-11-14 22:29:25
18,44,2019-11-15 22:59:25,2019-11-27 12:29:24
19,45,2019-11-28 13:59:24,2019-12-10 11:29:24
19,46,2019-12-11 10:59:24,2019-12-21 04:59:23
19,46,2019-12-21 05:29:23,2019-12-23 15:29:23
20,47,2019-12-24 23:59:23,2020-01-06 08:29:23
20,48,2020-01-07 21:29:23,2020-01-16 23:29:22
20,48,2020-01-16 23:59:22,2020-01-20 07:29:22
21,49,2020-01-21 22:29:22,2020-02-04 11:29:22
21,50,2020-02-05 09:59:22,2020-02-12 23:59:21
21,50,2020-02-13 00:29:21,2020-02-18 06:29:21
22,51,2020-02-19 19:29:21,2020-02-29 22:29:21
22,51,2020-02-29 23:29:21,2020-03-03 09:59:21
22,51,2020-03-03 10:29:21,2020-03-03 23:59:21
22,52,2020-03-05 01:59:21,2020-03-12 12:59:20
22,52,2020-03-12 13:29:20,2020-03-17 23:29:20
23,53,2020-03-19 14:29:20,2020-04-01 08:29:20
23,54,2020-04-02 07:59:20,2020-04-15 08:59:19
24,55,2020-04-16 06:59:19,2020-04-28 19:59:19
24,56,2020-04-29 18:29:18,2020-05-12 18:29:18
25,57,2020-05-14 03:29:18,2020-05-26 02:59:17
25,58,2020-05-27 09:59:17,2020-06-08 18:59:17
26,59,2020-06-09 18:29:17,2020-06-21 16:29:16
26,60,2020-06-22 14:59:16,1971-12-31 00:00:00
27,61,2020-07-05 18:39:16,2020-07-17 14:59:15
27,62,2020-07-18 15:39:15,2020-07-30 03:19:15
28,63,2020-07-31 08:19:15,2020-08-12 10:59:14
28,64,2020-08-13 15:39:14,2020-08-25 14:19:14
29,65,2020-08-26 17:39:14,2020-09-08 20:59:13
29,66,2020-09-09 19:49:13,2020-09-21 22:19:13
30,67,2020-09-23 09:09:13,2020-10-06 15:19:12
30,68,2020-10-07 16:59:12,2020-10-20 17:19:12
31,69,2020-10-22 00:19:12,2020-11-03 22:49:11
31,70,2020-11-05 08:39:11,2020-11-16 10:39:11
32,71,2020-11-20 17:19:11,2020-12-02 10:29:10
32,72,2020-12-03 10:39:10,2020-12-16 17:29:10
33,73,2020-12-18 05:29:10,2020-12-30 08:39:09
33,74,2020-12-31 22:19:09,2021-01-13 01:39:09
34,75,2021-01-14 05:59:09,2021-01-26 09:39:08
34,76,2021-01-27 11:39:08,2021-02-08 13:29:08
35,77,2021-02-09 11:39:08,2021-02-20 14:29:07
35,77,2021-02-20 20:59:07,2021-02-21 15:29:07
35,78,2021-02-23 01:59:07,2021-03-06 11:29:07
36,79,2021-03-07 09:39:07,2021-03-19 08:29:06
36,80,2021-03-20 06:59:06,2021-04-01 11:39:06
37,81,2021-04-02 17:39:06,2021-04-14 12:39:05
37,82,2021-04-15 17:19:05,2021-04-28 01:49:05
38,83,2021-04-29 08:29:04,2021-05-11 19:59:04
38,84,2021-05-12 19:09:04,2021-05-26 01:09:03
39,85,2021-05-27 06:29:03,2021-06-09 08:29:03
39,86,2021-06-10 08:39:03,2021-06-24 05:09:02
40,87,2021-06-25 03:39:02,2021-07-08 21:29:02
40,88,2021-07-09 19:49:02,2021-07-23 08:29:01
41,89,2021-07-24 11:39:01,2021-08-06 02:19:01
41,90,2021-08-07 05:09:01,2021-08-20 01:49:00
42,91,2021-08-21 04:29:00,2021-09-02 19:18:59
42,92,2021-09-03 17:38:59,2021-09-15 15:48:59
43,93,2021-09-16 15:58:59,2021-09-28 14:58:58
43,94,2021-09-29 16:18:58,2021-10-11 09:18:58
44,95,2021-10-12 16:28:58,2021-10-24 05:18:58
44,96,2021-10-25 16:48:57,2021-10-31 21:58:57
44,96,2021-10-31 22:08:57,2021-11-05 22:28:57
45,97,2021-11-07 00:08:57,2021-11-19 11:28:56
45,98,2021-11-20 15:18:56,2021-12-02 02:58:56
46,99,2021-12-03 01:28:56,2021-12-16 02:48:55
46,100,2021-12-17 12:18:55,2021-12-30 04:48:55
47,101,2021-12-31 07:08:55,2022-01-13 10:58:54
